"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","upec-98_11162019","upec-99_11172019"
"group_449","","hypothetical protein","2","2","1","91","860","","","","398","398","398","upec-98_02511","upec-99_02473"
"pgm","","phosphoglucomutase","2","2","1","89","620","","","","1640","1640","1640","upec-98_04320","upec-99_04057"
"narX_2","","Nitrate/nitrite sensor protein NarX","2","2","1","91","1618","","","","1796","1796","1796","upec-98_04850","upec-99_03041"
"ompN","","outer membrane pore protein N, non-specific","2","2","1","91","1767","","","","1133","1133","1133","upec-98_02154","upec-99_01861"
"nirD","","nitrite reductase, small subunit","2","2","1","86","133","","","","326","326","326","upec-98_00902","upec-99_00093"
"envZ_6","","EnvZ sensory histidine kinase","2","2","1","90","574","","","","1382","1382","1382","upec-98_03701","upec-99_01995"
"uvrB","","DNA repair; excision nuclease subunit B","2","2","1","89","533","","","","2021","2021","2021","upec-98_04394","upec-99_03202"
"sdaA","","L-serine deaminase I","2","2","1","88","319","","","","1364","1364","1364","upec-98_00566","upec-99_01279"
"yfdC","","putative inner membrane protein","2","2","1","90","826","","","","932","932","932","upec-98_03473","upec-99_00657"
"nadK","","NAD kinase monomer","2","2","1","90","86","","","","878","878","878","upec-98_03395","upec-99_01141"
"ychQ","","putative transcriptional regulator","2","2","1","91","1607","","","","392","392","392","upec-98_04840","upec-99_03053"
"yidZ","","putative transcriptional regulator LysR-type","2","2","1","91","873","","","","959","959","959","upec-98_02523","upec-99_02460"
"ushA_4","","5'-nucleotidase / UDP-sugar hydrolase","2","2","1","87","61","","","","1652","1652","1652","upec-98_03903","upec-99_01386"
"pyrD","","dihydroorotate dehydrogenase, type 2","2","2","1","89","377","","","","1010","1010","1010","upec-98_04555","upec-99_03369"
"katE","","heme d synthase / hydroperoxidase","2","2","1","88","243","","","","2261","2261","2261","upec-98_00641","upec-99_02773"
"idnT","","L-idonate / 5-ketogluconate / gluconate transporter IdnT","2","2","1","91","418","","","","1319","1319","1319","upec-98_02820","upec-99_02565"
"yfbS","","putative transport protein","2","2","1","90","888","","","","1832","1832","1832","upec-98_01234","upec-99_01624"
"gltL","","glutamate / aspartate ABC transporter - ATP binding subunit","2","2","1","89","653","","","","725","725","725","upec-98_04281","upec-99_03602"
"yieL","","putative xylanase","2","2","1","91","609","","","","1106","1169","1137","upec-98_02531","upec-99_02661"
"fklB","","FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase)","2","2","1","91","357","","","","620","620","620","upec-98_02768","upec-99_02620"
"group_4511","","hypothetical protein","2","2","1","91","1573","","","","446","446","446","upec-98_04803","upec-99_03087"
"ytjC","","putative phosphoglycerate mutase 2","2","2","1","91","1430","","","","647","647","647","upec-98_02889","upec-99_04710"
"ugpE","","glycerol-3-phosphate / glycerol-2-phosphate ABC transporter - putative membrane subunit","2","2","1","86","97","","","","845","845","845","upec-98_00988","upec-99_00174"
"shiA_2","","shikimate:H  symporter","2","2","1","83","117","","","","1316","1316","1316","upec-98_01687","upec-99_03526"
"mdoC","","protein required for succinyl modification of osmoregulated periplasmic glucans","2","2","1","89","282","","","","1157","1157","1157","upec-98_04645","upec-99_00250"
"yafV","","putative C-N hydrolase family amidase, NAD(P)-binding","2","2","1","87","179","","","","770","770","770","upec-98_03751","upec-99_02374"
"yfdE","","putative CoA transferase, NAD(P)-binding","2","2","1","90","742","","","","1145","1145","1145","upec-98_03545","upec-99_00634"
"oppC","","murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit","2","2","1","91","1642","","","","908","908","908","upec-98_04875","upec-99_00474"
"gltP","","glutamate / aspartate : H  symporter GltP","2","2","1","91","212","","","","1313","1313","1313","upec-98_04132","upec-99_03918"
"bglF","","beta-glucoside PTS permease BglF - cryptic","2","2","1","91","605","","","","1874","1877","1875","upec-98_02534","upec-99_02657"
"melR","","MelR DNA-binding transcriptional dual regulator","2","2","1","91","259","","","","908","908","908","upec-98_04181","upec-99_03963"
"tmk","","dTMP kinase","2","2","1","89","233","","","","641","641","641","upec-98_04694","upec-99_03744"
"mltA","","membrane-bound lytic murein transglycosylase A","2","2","1","90","487","","","","1097","1097","1097","upec-98_03170","upec-99_00922"
"group_4523","","hypothetical protein","2","2","1","91","571","","","","1523","1523","1523","upec-98_02206","upec-99_04413"
"group_4524","","hypothetical protein","2","2","1","91","213","","","","689","689","689","upec-98_04133","upec-99_03919"
"hypE","","Hydrogenase isoenzymes formation protein HypE","2","2","1","90","229","","","","1010","1010","1010","upec-98_03252","upec-99_02221"
"ybhC","","outer membrane lipoprotein","2","2","1","89","540","","","","1283","1283","1283","upec-98_04387","upec-99_03195"
"aspC","","aspartate aminotransferase, PLP-dependent","2","2","1","89","387","","","","1190","1190","1190","upec-98_04545","upec-99_03352"
"mioC","","flavoprotein involved in biotin synthesis","2","2","1","91","585","","","","443","443","443","upec-98_02554","upec-99_02637"
"rbsD","","ribose pyranase","2","2","1","91","579","","","","419","419","419","upec-98_02560","upec-99_02631"
"yfeZ","","putative inner membrane protein","2","2","1","90","686","","","","449","449","449","upec-98_03599","upec-99_02116"
"ccmA","","protoheme IX ABC transporter - ATP binding subunit","2","2","1","90","989","","","","617","617","617","upec-98_01322","upec-99_02978"
"dfp","","fused 4'-phosphopantothenoylcysteine decarboxylase and phosphopantothenoylcysteine synthetase","2","2","1","91","766","","","","1220","1220","1220","upec-98_02422","upec-99_01543"
"group_4544","fimZ_5","FimZ transcriptional regulator","2","2","1","90","997","","","","647","647","647","upec-98_01330","upec-99_02970"
"fdoG_1","","formate dehydrogenase-O, alpha subunit","2","2","1","85","133","","","","2414","2414","2414","upec-98_00244","upec-99_04112"
"cpdB","","2',3'-cyclic nucleotide 2'-phosphodiesterase / 3'-nucleotidase","2","2","1","91","363","","","","1943","1943","1943","upec-98_02774","upec-99_02614"
"ybiP_3","","putative hydrolase, inner membrane","2","2","1","89","497","","","","1583","1583","1583","upec-98_04429","upec-99_03238"
"group_4548","","hypothetical protein","2","2","1","88","295","","","","1283","1283","1283","upec-98_00590","upec-99_01671"
"frmA","","formaldehyde dehydrogenase, glutathione-dependent","2","2","1","87","292","","","","1109","1109","1109","upec-98_03847","upec-99_00030"
"group_455","","hypothetical protein","2","2","1","84","27","","","","857","857","857","upec-98_02584","upec-99_00538"
"cysG","","uroporphyrin III C-methyltransferase [multifunctional]","2","2","1","86","135","","","","1373","1373","1373","upec-98_00904","upec-99_00095"
"prmB","","protein-glutamine N-methyltransferase","2","2","1","90","849","","","","932","932","932","upec-98_03458","upec-99_00673"
"garP","","galactarate / glucarate / glycerate:H  symporter GarP","2","2","1","91","976","","","","1334","1334","1334","upec-98_01861","upec-99_04321"
"cysS","","cysteinyl-tRNA synthetase","2","2","1","87","11","","","","1385","1385","1385","upec-98_03856","upec-99_00787"
"rbsK_4","","ribokinase","2","2","1","91","575","","","","929","929","929","upec-98_02564","upec-99_02627"
"rep","","Rep helicase, a single-stranded DNA dependent ATPase","2","2","1","82","23","","","","2021","2021","2021","upec-98_00315","upec-99_03627"
"fucR","","FucR transcriptional activator","2","2","1","90","495","","","","731","731","731","upec-98_03178","upec-99_00930"
"speE","","spermidine synthase","2","2","1","91","1299","","","","866","866","866","upec-98_02297","upec-99_04517"
"syd","","SecY-interacting protein","2","2","1","90","512","","","","545","545","545","upec-98_03190","upec-99_00946"
"livM","","branched chain amino acid transporter - membrane subunit","2","2","1","86","92","","","","1277","1277","1277","upec-98_00993","upec-99_00179"
"finO","","Fertility inhibition protein","2","2","1","84","36","","","","560","560","560","upec-98_02589","upec-99_01094"
"ycjS","","putative oxidoreductase, NADH-binding","2","2","1","91","1731","","","","1055","1055","1055","upec-98_02122","upec-99_01829"
"pyrC","","dihydroorotase","2","2","1","89","268","","","","1046","1046","1046","upec-98_04659","upec-99_00264"
"fdnI","","formate dehydrogenase N, gamma subunit","2","2","1","80","24","","","","653","653","653","upec-98_01115","upec-99_00919"
"rbsR","","RbsR DNA-binding transcriptional repressor","2","2","1","91","574","","","","992","992","992","upec-98_02565","upec-99_02626"
"norR","","NorR DNA-binding transcriptional dual regulator","2","2","1","90","206","","","","1514","1514","1514","upec-98_03274","upec-99_04751"
"group_4565","","hypothetical protein","2","2","1","89","544","","","","1052","1052","1052","upec-98_04383","upec-99_03192"
"citF","","citrate lyase, citrate-ACP transferase alpha subunit","2","2","1","89","686","","","","1532","1532","1532","upec-98_04253","upec-99_03565"
"tolC","","TolC monomer","2","2","1","91","1059","","","","1481","1481","1481","upec-98_01944","upec-99_04237"
"treB","","trehalose PTS permease - TreB subunit","2","2","1","91","387","","","","1421","1421","1421","upec-98_02797","upec-99_02587"
"aroH","","2-dehydro-3-deoxyphosphoheptonate aldolase","2","2","1","88","216","","","","1046","1046","1046","upec-98_00667","upec-99_02801"
"group_457","","hypothetical protein","2","2","1","84","38","","","","746","746","746","upec-98_02591","upec-99_01095"
"yejK","","DNA-associated protein","2","2","1","90","1002","","","","1007","1007","1007","upec-98_01336","upec-99_02965"
"rbbA","","ribosome-associated ATPase","2","2","1","86","57","","","","2735","2735","2735","upec-98_01034","upec-99_02731"
"yrfF","","putative dehydrogenase","2","2","1","86","165","","","","2123","2123","2123","upec-98_00928","upec-99_00124"
"corA","","Ni2  / Co2  / Mg2  transporter","2","2","1","82","59","","","","950","950","950","upec-98_00356","upec-99_03665"
"rsmE","","16S rRNA methyltransferase monomer","2","2","1","90","324","","","","731","731","731","upec-98_03027","upec-99_01736"
"degP","","serine protease Do","2","2","1","91","1251","","","","1424","1424","1424","upec-98_02257","upec-99_04557"
"rplX","","50S ribosomal subunit protein L24","2","2","1","81","39","","","","314","314","314","upec-98_00097","upec-99_02697"
"yjhH","","putative lyase/synthase","2","2","1","91","1136","","","","959","959","959","upec-98_02036","upec-99_04611"
"hyaA","","hydrogenase 1, small subunit","2","2","1","89","351","","","","1118","1118","1118","upec-98_04582","upec-99_03396"
"glmU","","fused N-acetylglucosamine-1-phosphate uridyltransferase and glucosamine-1-phosphate acetyltransferase","2","2","1","91","597","","","","1370","1370","1370","upec-98_02542","upec-99_02649"
"traD_2","","Coupling protein TraD","2","2","1","84","41","","","","2144","2189","2166","upec-98_02593","upec-99_01097"
"fabR","","FabR DNA-binding transcriptional repressor","2","2","1","85","55","","","","704","704","704","upec-98_00169","upec-99_04181"
"yhjJ","","putative zinc-dependent peptidase","2","2","1","91","644","","","","1496","1496","1496","upec-98_02318","upec-99_00403"
"fryC","","putative enzyme IIC component of PTS","2","2","1","90","726","","","","1247","1247","1247","upec-98_03560","upec-99_00618"
"bglG_2","","BglG transcriptional antiterminator (monomer)","2","2","1","91","604","","","","836","836","836","upec-98_02535","upec-99_02656"
"mglA","","galactose ABC transporter - ATP binding subunit","2","2","1","90","1219","","","","1520","1520","1520","upec-98_01373","upec-99_02926"
"clpB_3","","ClpB chaperone","2","2","1","90","65","","","","2573","2573","2573","upec-98_03415","upec-99_01199"
"fhuC_2","","iron (III) hydroxamate ABC transporter - ATP binding subunit","2","2","1","91","1261","","","","797","797","797","upec-98_02267","upec-99_04547"
"yghA","","putative glutathionylspermidine synthase, with NAD(P)-binding Rossmann-fold domain","2","2","1","91","1100","","","","884","884","884","upec-98_01985","upec-99_04209"
"malP","","maltodextrin phosphorylase monomer","2","2","1","86","186","","","","2393","2393","2393","upec-98_00949","upec-99_00143"
"rnr","","RNase R","2","2","1","91","319","","","","2441","2441","2441","upec-98_02733","upec-99_04028"
"group_459","","hypothetical protein","2","2","1","84","54","","","","284","284","284","upec-98_02602","upec-99_01105"
"acnB","","bifunctional aconitate hydratase 2 and 2-methylisocitrate dehydratase","2","2","1","91","1302","","","","2597","2597","2597","upec-98_02300","upec-99_04514"
"srlB","","glucitol/sorbitol PTS permease - SrlB subunit","2","2","1","90","201","","","","371","371","371","upec-98_03279","upec-99_04756"
"potA","","putrescine / spermidine ABC transporter - ATP binding subunit","2","2","1","89","88","","","","1136","1136","1136","upec-98_04722","upec-99_01086"
"group_4593","","hypothetical protein","2","2","1","75","13","","","","602","602","602","upec-98_00293","upec-99_02447"
"manZ","","mannose PTS permease - ManZ subunit","2","2","1","88","324","","","","851","851","851","upec-98_00561","upec-99_01285"
"ybhQ","","putative inner membrane protein","2","2","1","89","521","","","","410","410","410","upec-98_04406","upec-99_03214"
"lplT","","lysophospholipid transporter","2","2","1","90","436","","","","1193","1193","1193","upec-98_03119","upec-99_00818"
"ilvA","","threonine deaminase","2","2","1","82","18","","","","1544","1547","1545","upec-98_00311","upec-99_03622"
"rseA","","anti-sigma factor","2","2","1","90","557","","","","650","650","650","upec-98_03719","upec-99_01979"
"mutS","","MutHLS complex, methyl-directed mismatch repair","2","2","1","90","234","","","","2561","2561","2561","upec-98_03248","upec-99_02216"
"yeeO_1","","YeeO MATE transporter","2","2","1","83","111","","","","983","1454","1218","upec-98_01694","upec-99_03521"
"group_460","","hypothetical protein","2","2","1","84","55","","","","335","335","335","upec-98_02603","upec-99_01106"
"group_4600","","hypothetical protein","2","2","1","84","140","","","","311","311","311","upec-98_02623","upec-99_01124"
"mscM","","mechanosensitive channel of miniconductance McsM monomer","2","2","1","91","302","","","","3323","3323","3323","upec-98_02715","upec-99_04007"
"lldP","","(R)-lactate / (S)-lactate / glycolate:H  symporter LldP","2","2","1","91","722","","","","1655","1655","1655","upec-98_02389","upec-99_01578"
"tppB","","tripeptide / dipeptide:H  symporter","2","2","1","88","145","","","","1502","1502","1502","upec-98_00738","upec-99_02876"
"nrfB","","formate-dependent nitrite reductase - penta-heme cytochrome c","2","2","1","91","205","","","","566","566","566","upec-98_04126","upec-99_03912"
"ptsN","","phosphotransferase system enzyme IIA, regulation of potassium transport","2","2","1","91","904","","","","491","491","491","upec-98_01788","upec-99_04396"
"dcuC","","dicarboxylate transporter DcuC","2","2","1","89","680","","","","1385","1385","1385","upec-98_04259","upec-99_03571"
"yoaD","","putative phosphodiesterase","2","2","1","88","320","","","","1598","1598","1598","upec-98_00565","upec-99_01280"
"xerD_3","","site-specific recombinase","2","2","1","90","379","","","","896","896","896","upec-98_03078","upec-99_00892"
"yjiE","","YjiE transcriptional dual regulator","2","2","1","91","1172","","","","911","911","911","upec-98_02000","upec-99_04644"
"group_461","","hypothetical protein","2","2","1","84","56","","","","341","341","341","upec-98_02604","upec-99_01107"
"group_4610","","hypothetical protein","2","2","1","87","131","","","","347","347","347","upec-98_03972","upec-99_01456"
"atpB","","ATP synthase F0 complex - a subunit","2","2","1","91","589","","","","815","815","815","upec-98_02550","upec-99_02641"
"putP","","proline:Na  symporter","2","2","1","89","310","","","","1508","1508","1508","upec-98_04618","upec-99_03440"
"ybdG","","mechanosensitive channel of miniconductance YbdG monomer","2","2","1","89","730","","","","1247","1247","1247","upec-98_04213","upec-99_02157"
"group_4614","","hypothetical protein","2","2","1","89","508","","","","674","674","674","upec-98_04418","upec-99_03227"
"tdcD","","propionate kinase","2","2","1","91","983","","","","1208","1208","1208","upec-98_01868","upec-99_04311"
"rimI","","ribosomal-protein-S18-alanine N-acetyltransferase","2","2","1","91","1454","","","","446","446","446","upec-98_02866","upec-99_04686"
"ygjV","","inner membrane protein","2","2","1","91","1005","","","","551","551","551","upec-98_01890","upec-99_04288"
"ycgM","","putative isomerase/hydrolase","2","2","1","91","1572","","","","659","659","659","upec-98_04802","upec-99_03088"
"pfkB","","6-phosphofructokinase-2 monomer","2","2","1","88","234","","","","929","929","929","upec-98_00649","upec-99_02782"
"group_462","","hypothetical protein","2","2","1","84","159","","","","257","257","257","upec-98_02606","upec-99_01109"
"fucO_1","","L-1,2-propanediol oxidoreductase monomer","2","2","1","90","506","","","","1148","1148","1148","upec-98_03184","upec-99_00940"
"xylA","","xylose isomerase","2","2","1","91","683","","","","1322","1322","1322","upec-98_02353","upec-99_01935"
"ftnB","","putative ferritin-like protein","2","2","1","88","383","","","","503","503","503","upec-98_00481","upec-99_01368"
"holA","","DNA polymerase III, delta subunit","2","2","1","89","662","","","","1031","1031","1031","upec-98_04276","upec-99_03590"
"fucA_1","","L-fuculose-phosphate aldolase","2","2","1","91","1131","","","","641","641","641","upec-98_02041","upec-99_04606"
"ynaI","","mechanosensitive channel YnaI monomer","2","2","1","91","1747","","","","1031","1031","1031","upec-98_02138","upec-99_01845"
"group_4626","","hypothetical protein","2","2","1","88","338","","","","2633","2633","2633","upec-98_00547","upec-99_01299"
"nikB","","nickel ABC transporter - membrane subunit","2","2","1","86","71","","","","944","944","944","upec-98_01020","upec-99_00200"
"lacI","","LacI DNA-binding transcriptional repressor","2","2","1","87","289","","","","1091","1091","1091","upec-98_03844","upec-99_03860"
"dacC","","penicillin-binding protein 6","2","2","1","89","474","","","","1202","1202","1202","upec-98_04452","upec-99_03262"
"group_463","","hypothetical protein","2","2","1","84","154","","","","386","386","386","upec-98_02612","upec-99_01114"
"ynhG","","L,D-transpeptidase YnhG","2","2","1","88","189","","","","1004","1004","1004","upec-98_00694","upec-99_02829"
"group_4631","","hypothetical protein","2","2","1","90","530","","","","671","671","671","upec-98_03209","upec-99_00963"
"dxr","","1-deoxy-D-xylulose 5-phosphate reductoisomerase","2","2","1","91","1240","","","","1196","1196","1196","upec-98_02247","upec-99_04568"
"chiP","","chitobiose outer membrane porin","2","2","1","89","627","","","","1406","1406","1406","upec-98_04313","upec-99_04050"
"ydjA","","putative oxidoreductase","2","2","1","88","276","","","","551","551","551","upec-98_00609","upec-99_01036"
"ampH","","DD-endopeptidase / DD-carboxypeptidase","2","2","1","87","309","","","","1157","1157","1157","upec-98_04006","upec-99_01915"
"eptB","","phosphoethanolamine transferase","2","2","1","91","664","","","","1691","1691","1691","upec-98_02334","upec-99_00424"
"ychF","","ribosome-binding ATPase","2","2","1","91","1597","","","","1091","1091","1091","upec-98_04830","upec-99_03063"
"ompA","","outer membrane protein 3a (II*;G;d)","2","2","1","89","365","","","","1040","1040","1040","upec-98_04567","upec-99_03381"
"ycgX","","putative protein","2","2","1","91","1551","","","","404","404","404","upec-98_04783","upec-99_02176"
"group_464","","hypothetical protein","2","2","1","84","135","","","","509","509","509","upec-98_02628","upec-99_01129"
"tdcA","","TdcA DNA-binding transcriptional activator","2","2","1","91","980","","","","938","938","938","upec-98_01865","upec-99_04314"
"actP","","acetate / glycolate transporter","2","2","1","91","201","","","","1649","1649","1649","upec-98_04122","upec-99_03908"
"ydjJ","","putative oxidoreductase, Zn-dependent and NAD(P)-binding","2","2","1","88","285","","","","1043","1043","1043","upec-98_00600","upec-99_01045"
"yceI","","putative protein","2","2","1","89","274","","","","575","575","575","upec-98_04653","upec-99_00258"
"dnaG","","DNA primase","2","2","1","91","1026","","","","1745","1745","1745","upec-98_01912","upec-99_04266"
"panF","","pantothenate:Na  symporter","2","2","1","91","532","","","","1451","1451","1451","upec-98_01736","upec-99_02422"
"ybbO","","putative oxidoreductase with NAD(P)-binding Rossmann-fold domain protein","2","2","1","87","43","","","","770","770","770","upec-98_03883","upec-99_00755"
"metA","","homoserine O-succinyltransferase","2","2","1","91","128","","","","929","929","929","upec-98_04045","upec-99_02281"
"ygiC","","putative enzyme","2","2","1","91","1057","","","","1160","1160","1160","upec-98_01942","upec-99_04239"
"ybaE","","putative transporter subunit: periplasmic-binding component of ABC superfamily protein","2","2","1","87","96","","","","1700","1700","1700","upec-98_03937","upec-99_01421"
"group_465","","hypothetical protein","2","2","1","84","131","","","","719","719","719","upec-98_02632","upec-99_01922"
"envZ_5","","EnvZ sensory histidine kinase","2","2","1","87","141","","","","1295","1295","1295","upec-98_03982","upec-99_01891"
"sufB","","SufB component of SufBCD Fe-S cluster scaffold complex","2","2","1","88","194","","","","1487","1487","1487","upec-98_00689","upec-99_02824"
"dinB","","DNA polymerase IV (Y-family DNA polymerase; translesion DNA synthesis)","2","2","1","87","190","","","","1055","1055","1055","upec-98_03761","upec-99_02361"
"pgpA","","phosphatidylglycerophosphatase A","2","2","1","87","123","","","","518","518","518","upec-98_03964","upec-99_01448"
"zitB","","Zn2  / Cd2  / Ni2  / Cu2  efflux transporter ZitB","2","2","1","89","561","","","","941","941","941","upec-98_04366","upec-99_03175"
"rimO","","ribosomal protein S12 D88 methylthiotransferase","2","2","1","89","478","","","","1325","1325","1325","upec-98_04448","upec-99_03258"
"eutD","","phosphate acetyltransferase monomer","2","2","1","90","670","","","","1016","1016","1016","upec-98_03615","upec-99_02100"
"mfd","","transcription-repair coupling factor","2","2","1","89","217","","","","3494","3494","3494","upec-98_04710","upec-99_03760"
"hemL","","glutamate-1-semialdehyde aminotransferase","2","2","1","91","1258","","","","1280","1280","1280","upec-98_02264","upec-99_04550"
"wzzE","","Enterobacterial Common Antigen  polysaccharide chain length modulation protein","2","2","1","82","30","","","","1046","1046","1046","upec-98_00321","upec-99_03634"
"group_466","","hypothetical protein","2","2","1","84","130","","","","434","434","434","upec-98_02633","upec-99_01923"
"yecN","","putative inner membrane protein","2","2","1","88","414","","","","395","395","395","upec-98_00510","upec-99_01338"
"yciU","","putative protein","2","2","1","91","1645","","","","329","329","329","upec-98_04878","upec-99_00471"
"queD","","6-carboxy-5,6,7,8-tetrahydropterin synthase","2","2","1","90","272","","","","365","365","365","upec-98_03221","upec-99_00976"
"ynfF","","oxidoreductase subunit","2","2","1","88","97","","","","2396","2396","2396","upec-98_00784","upec-99_00348"
"lysC","","aspartate kinase III","2","2","1","91","141","","","","1349","1349","1349","upec-98_04064","upec-99_02292"
"ydiP","","putative DNA-binding transcriptional regulator","2","2","1","88","207","","","","911","911","911","upec-98_00676","upec-99_02810"
"yghT","","putative protein with nucleoside triphosphate hydrolase domain protein","2","2","1","91","478","","","","692","692","692","upec-98_01157","upec-99_04191"
"tyrP","","tyrosine:H  symporter TyrP","2","2","1","88","378","","","","1211","1211","1211","upec-98_00476","upec-99_01373"
"slmA","","cell division inhibitor, nucleoid occlusion","2","2","1","91","768","","","","596","596","596","upec-98_02424","upec-99_01541"
"ydhX","","putative 4Fe-4S ferredoxin-type protein","2","2","1","88","181","","","","668","668","668","upec-98_00701","upec-99_02837"
"rsmA_1","","hypothetical protein","2","2","1","84","125","","","","212","563","387","upec-98_02638","upec-99_01761"
"gltI","","glutamate / aspartate ABC transporter - periplasmic binding protein","2","2","1","89","650","","","","908","908","908","upec-98_04284","upec-99_03605"
"ygeV","","putative transcriptional regulator","2","2","1","90","404","","","","1778","1778","1778","upec-98_03103","upec-99_00867"
"yjiN","","hypothetical protein","2","2","1","91","1183","","","","1280","1280","1280","upec-98_01990","upec-99_04655"
"acrA","","AcrA membrane fusion protein","2","2","1","87","79","","","","1193","1193","1193","upec-98_03920","upec-99_01404"
"dtpD","","dipeptide:H  symporter DtpD","2","2","1","89","603","","","","1481","1481","1481","upec-98_04331","upec-99_03137"
"hscA","","chaperone, member of Hsp70 protein family","2","2","1","90","602","","","","1850","1850","1850","upec-98_03677","upec-99_02026"
"bcsA","","cellulose synthase, catalytic subunit","2","2","1","91","652","","","","2618","2618","2618","upec-98_02324","upec-99_00409"
"yphD","","YphD/YphE/YphF ABC transporter","2","2","1","90","584","","","","998","998","998","upec-98_03691","upec-99_02005"
"group_4678","","hypothetical protein","2","2","1","88","347","","","","656","656","656","upec-98_00538","upec-99_01308"
"ydgD","","putative peptidase","2","2","1","88","107","","","","821","821","821","upec-98_00774","upec-99_00358"
"group_468","","hypothetical protein","2","2","1","84","111","","","","203","926","564","upec-98_02648","upec-99_01772"
"mdtB","","MdtABC-TolC multidrug efflux transport system - membrane subunit","2","2","1","90","1124","","","","3122","3122","3122","upec-98_01459","upec-99_01237"
"ribF","","bifunctional riboflavin kinase / FMN adenylyltransferase","2","2","1","91","1398","","","","941","941","941","upec-98_02917","upec-99_04423"
"degS_2","","Sensor histidine kinase LiaS","2","2","1","91","830","","","","1502","1502","1502","upec-98_02486","upec-99_01495"
"ilvH","","acetolactate synthase / acetohydroxybutanoate synthase","2","2","1","91","1342","","","","491","491","491","upec-98_02973","upec-99_04476"
"group_4684","","hypothetical protein","2","2","1","88","137","","","","440","440","440","upec-98_00746","upec-99_00388"
"trmH","","tRNA (Gm18) 2'-O-methyltransferase","2","2","1","91","803","","","","689","689","689","upec-98_02459","upec-99_01477"
"tyrR","","TyrR DNA-binding transcriptional dual regulator","2","2","1","91","1739","","","","1541","1541","1541","upec-98_02130","upec-99_01837"
"ydjF","","putative DNA-binding transcriptional regulator","2","2","1","88","281","","","","758","758","758","upec-98_00604","upec-99_01041"
"ygaY","","putative transporter","2","2","1","90","180","","","","1184","1184","1184","upec-98_03304","upec-99_04777"
"miaB","","isopentenyl-adenosine A37 tRNA methylthiolase MiaB","2","2","1","89","644","","","","1424","1424","1424","upec-98_04290","upec-99_03610"
"group_469","","hypothetical protein","2","2","1","84","94","","","","356","1172","764","upec-98_02649","upec-99_02328"
"group_4690","","hypothetical protein","2","2","1","90","493","","","","395","395","395","upec-98_03176","upec-99_00928"
"aceA","","isocitrate lyase monomer","2","2","1","91","130","","","","1304","1304","1304","upec-98_04047","upec-99_02283"
"ppdC","","putative protein","2","2","1","90","450","","","","323","323","323","upec-98_03133","upec-99_00805"
"aroP","","aromatic amino acid:H  symporter AroP","2","2","1","91","1310","","","","1370","1370","1370","upec-98_03004","upec-99_04508"
"yebQ","","putative transporter","2","2","1","88","332","","","","1373","1373","1373","upec-98_00553","upec-99_01293"
"yfcJ","","putative transport protein YfcJ","2","2","1","90","857","","","","1178","1178","1178","upec-98_03450","upec-99_00681"
"flk","","putative flagella assembly protein","2","2","1","90","858","","","","995","995","995","upec-98_03449","upec-99_00682"
"group_470","xerD_3","site-specific recombinase","2","2","1","84","107","","","","806","809","807","upec-98_02662","upec-99_01776"
"pitB","","phosphate transporter","2","2","1","91","479","","","","1499","1499","1499","upec-98_01156","upec-99_04192"
"nagE","","N-acetylglucosamine PTS permease","2","2","1","89","637","","","","1946","1946","1946","upec-98_04301","upec-99_04047"
"ptsA","","fused predicted PTS enzymes: HPr component / enzyme I component / enzyme IIA component","2","2","1","85","73","","","","2501","2501","2501","upec-98_00188","upec-99_04166"
"flgJ","","FlgJ","2","2","1","89","249","","","","941","941","941","upec-98_04678","upec-99_00283"
"glgP","","glycogen phosphorylase","2","2","1","86","204","","","","2447","2447","2447","upec-98_00968","upec-99_00152"
"efeB","","heme-containing peroxidase/deferrochelatase","2","2","1","89","307","","","","1271","1271","1271","upec-98_04621","upec-99_03443"
"rutA","","pyrimidine oxygenase","2","2","1","89","314","","","","1091","1091","1091","upec-98_04614","upec-99_03436"
"group_4707","","hypothetical protein","2","2","1","89","263","","","","647","647","647","upec-98_04664","upec-99_00269"
"pdxK","","pyridoxamine kinase / hydroxymethylpyrimidine kinase / pyridoxal kinase","2","2","1","90","701","","","","851","851","851","upec-98_03587","upec-99_03116"
"flhD","","FlhDC DNA-binding transcriptional dual regulator","2","2","1","88","390","","","","350","350","350","upec-98_00488","upec-99_01361"
"ccdA_1","","Antitoxin CcdA","2","2","1","84","101","","","","218","218","218","upec-98_02664","upec-99_01778"
"yedW_6","","putative DNA-binding response regulator in two-component system with YedV","2","2","1","87","142","","","","689","689","689","upec-98_03983","upec-99_01892"
"yceM","","putative oxidoreductase, NAD(P)-binding Rossmann-fold domain","2","2","1","89","262","","","","923","923","923","upec-98_04665","upec-99_00270"
"mdtE","","MdtEF-TolC multidrug efflux transport system - membrane fusion protein","2","2","1","86","21","","","","1157","1157","1157","upec-98_01065","upec-99_01676"
"group_4713","","hypothetical protein","2","2","1","89","435","","","","1658","1658","1658","upec-98_04489","upec-99_03301"
"pgaC","","UDP-N-acetyl-D-glucosamine beta-1,6-N-acetyl-D-glucosaminyl transferase","2","2","1","89","304","","","","1325","1325","1325","upec-98_04625","upec-99_03446"
