"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","A_11102019","K_11082019"
"yhjE_2","","Inner membrane metabolite transport protein YhjE","2","2","1","109","26","","","","1322","1322","1322","A_02785","K_03319"
"yijD","","Inner membrane protein YijD","2","2","1","126","24","","","","359","359","359","A_01094","K_01900"
"alkA","","DNA-3-methyladenine glycosylase 2","2","2","1","135","765","","","","848","857","852","A_01889","K_04140"
"tktA","","Transketolase 1","2","2","1","134","793","","","","1991","1991","1991","A_03412","K_03466"
"serA","","D-3-phosphoglycerate dehydrogenase","2","2","1","134","821","","","","1232","1232","1232","A_03389","K_03493"
"group_3332","","hypothetical protein","2","2","1","125","23","","","","404","404","404","A_00286","K_04354"
"fabA","","3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase","2","2","1","135","485","","","","626","626","626","A_02990","K_03186"
"group_3334","","hypothetical protein","2","2","1","135","926","","","","344","344","344","A_02887","K_01543"
"yabJ","","2-iminobutanoate/2-iminopropanoate deaminase","2","2","1","131","78","","","","347","347","347","A_00315","K_00097"
"yehR","","putative lipoprotein YehR","2","2","1","135","867","","","","461","461","461","A_01533","K_04234"
"gsk","","Inosine-guanosine kinase","2","2","1","130","180","","","","1304","1304","1304","A_00123","K_00919"
"iscA_1","","Iron-binding protein IscA","2","2","1","127","68","","","","323","323","323","A_00759","K_01005"
"trmB","","tRNA (guanine-N(7)-)-methyltransferase","2","2","1","134","766","","","","719","719","719","A_03435","K_03439"
"group_334","","hypothetical protein","2","2","1","135","767","","","","1946","1946","1946","A_01891","K_04142"
"rpiA","","Ribose-5-phosphate isomerase A","2","2","1","134","820","","","","659","659","659","A_03390","K_03492"
"group_3341","","hypothetical protein","2","2","1","105","9","","","","701","701","701","A_01288","K_00055"
"speA","","Biosynthetic arginine decarboxylase","2","2","1","134","789","","","","1976","1976","1976","A_03415","K_03462"
"gntK_1","","Thermoresistant gluconokinase","2","2","1","128","127","","","","527","527","527","A_04265","K_00575"
"uvrA","","UvrABC system protein A","2","2","1","134","315","","","","2822","2822","2822","A_04497","K_03952"
"rpmE","","50S ribosomal protein L31","2","2","1","126","51","","","","212","212","212","A_01122","K_01929"
"group_3346","","hypothetical protein","2","2","1","135","1017","","","","305","305","305","A_02803","K_00457"
"yidC","","Membrane protein insertase YidC","2","2","1","134","561","","","","1646","1646","1646","A_02446","K_00764"
"ftsI","","Peptidoglycan synthase FtsI","2","2","1","132","210","","","","1766","1766","1766","A_03909","K_01229"
"group_3349","","hypothetical protein","2","2","1","134","180","","","","638","638","638","A_02685","K_02453"
"group_335","","hypothetical protein","2","2","1","110","39","","","","347","365","356","A_01909","K_02827"
"group_3350","nuoI_2","NADH-quinone oxidoreductase subunit I","2","2","1","135","1031","","","","542","542","542","A_01682","K_00446"
"asnC","","Regulatory protein AsnC","2","2","1","134","515","","","","458","458","458","A_02409","K_02694"
"crp","","cAMP-activated global transcriptional regulator CRP","2","2","1","128","161","","","","632","632","632","A_04186","K_00496"
"nhaK","","Sodium, potassium, lithium and rubidium/H( ) antiporter","2","2","1","134","322","","","","1649","1649","1649","A_04504","K_03945"
"narL_2","","Nitrate/nitrite response regulator protein NarL","2","2","1","135","935","","","","647","647","647","A_02877","K_01553"
"agaC_1","","N-acetylgalactosamine permease IIC component 1","2","2","1","133","155","","","","779","779","779","A_03555","K_04452"
"gshB","","Glutathione synthetase","2","2","1","134","782","","","","950","950","950","A_03422","K_03455"
"rpmB","","50S ribosomal protein L28","2","2","1","134","467","","","","236","236","236","A_04028","K_03060"
"ftsL","","Cell division protein FtsL","2","2","1","132","209","","","","365","365","365","A_03910","K_01228"
"sprT","","Protein SprT","2","2","1","134","785","","","","455","455","455","A_03419","K_03458"
"cmpR_2","","HTH-type transcriptional activator CmpR","2","2","1","134","910","","","","935","935","935","A_01920","K_03581"
"sdhC","","Succinate dehydrogenase cytochrome b556 subunit","2","2","1","135","1168","","","","404","404","404","A_01573","K_04709"
"ftsW","","Lipid II flippase FtsW","2","2","1","132","215","","","","1244","1244","1244","A_03904","K_01234"
"minE","","Cell division topological specificity factor","2","2","1","125","37","","","","266","266","266","A_04160","K_04341"
"clpB_1","","Chaperone protein ClpB","2","2","1","118","1","","","","2573","2573","2573","A_01368","K_02624"
"cbpM","","Chaperone modulatory protein CbpM","2","2","1","135","449","","","","305","305","305","A_00266","K_03223"
"corC_1","","Magnesium and cobalt efflux protein CorC","2","2","1","131","85","","","","1556","1556","1556","A_00322","K_00104"
"fdoG_1","","Formate dehydrogenase-O major subunit","2","2","1","126","89","","","","587","587","587","A_01163","K_01969"
"ydcV_3","","Inner membrane ABC transporter permease protein YdcV","2","2","1","135","332","","","","794","794","794","A_02383","K_02015"
"lptB_2","","Lipopolysaccharide export system ATP-binding protein LptB","2","2","1","133","92","","","","725","725","725","A_03623","K_04518"
"cspG","","Cold shock-like protein CspG","2","2","1","135","458","","","","212","212","212","A_00275","K_03214"
"group_337","","hypothetical protein","2","2","1","134","919","","","","146","146","146","A_01929","K_03590"
"upp","","Uracil phosphoribosyltransferase","2","2","1","127","106","","","","626","626","626","A_00726","K_01530"
"ccmC","","Heme exporter protein C","2","2","1","135","941","","","","737","737","737","A_02871","K_01559"
"hslV","","ATP-dependent protease subunit HslV","2","2","1","126","55","","","","530","530","530","A_01126","K_01933"
"rpsD","","30S ribosomal protein S4","2","2","1","121","29","","","","620","620","620","A_02064","K_01738"
"rstA","","Transcriptional regulatory protein RstA","2","2","1","129","37","","","","719","719","719","A_03341","K_02101"
"citD","","Citrate lyase acyl carrier protein","2","2","1","135","1250","","","","296","296","296","A_03119","K_04622"
"apbC","","Iron-sulfur cluster carrier protein","2","2","1","135","853","","","","1109","1109","1109","A_01522","K_04221"
"dapF","","Diaminopimelate epimerase","2","2","1","124","42","","","","824","824","824","A_01994","K_01072"
"ccmD","","Heme exporter protein D","2","2","1","135","940","","","","209","209","209","A_02872","K_01558"
"group_3379","","hypothetical protein","2","2","1","135","825","","","","299","299","299","A_00437","K_04194"
"group_338","","hypothetical protein","2","2","1","134","925","","","","563","563","563","A_01935","K_03596"
"tusA_1","","Sulfurtransferase TusA","2","2","1","131","201","","","","233","233","233","A_03734","K_00218"
"prpD","","2-methylcitrate dehydratase","2","2","1","130","59","","","","1451","1451","1451","A_04276","K_02483"
"macA_1","","Macrolide export protein MacA","2","2","1","135","642","","","","995","995","995","A_00077","K_04851"
"ydhP_1","","Inner membrane transport protein YdhP","2","2","1","129","89","","","","1169","1169","1169","A_03290","K_02151"
"rpsE","","30S ribosomal protein S5","2","2","1","121","36","","","","503","503","503","A_02071","K_01745"
"pepQ","","Xaa-Pro dipeptidase","2","2","1","124","5","","","","1331","1331","1331","A_02029","K_01035"
"yhaH","","Inner membrane protein YhaH","2","2","1","133","181","","","","365","365","365","A_00907","K_04426"
"group_3387","","hypothetical protein","2","2","1","133","287","","","","287","287","287","A_01005","K_04086"
"hycA","","Formate hydrogenlyase regulatory protein HycA","2","2","1","134","71","","","","461","461","461","A_01446","K_03696"
"dapB","","4-hydroxy-tetrahydrodipicolinate reductase","2","2","1","132","155","","","","821","821","821","A_03959","K_01176"
"wecD","","dTDP-fucosamine acetyltransferase","2","2","1","124","60","","","","674","674","674","A_01971","K_01092"
"tldD","","Metalloprotease TldD","2","2","1","133","55","","","","1445","1445","1445","A_03661","K_04555"
"ffh","","Signal recognition particle protein","2","2","1","118","17","","","","1361","1361","1361","A_01352","K_02640"
"yeaP","","putative diguanylate cyclase YeaP","2","2","1","131","62","","","","1025","1025","1025","A_00882","K_00081"
"tolC","","Outer membrane protein TolC","2","2","1","133","247","","","","1481","1481","1481","A_00973","K_02363"
"sucD","","Succinyl-CoA ligase [ADP-forming] subunit alpha","2","2","1","135","1161","","","","869","869","869","A_01580","K_04716"
"rnk","","Regulator of nucleoside diphosphate kinase","2","2","1","135","1257","","","","410","410","410","A_03112","K_04615"
"group_3398","","hypothetical protein","2","2","1","132","324","","","","200","200","200","A_02144","K_01332"
"fabD","","Malonyl CoA-acyl carrier protein transacylase","2","2","1","135","365","","","","929","929","929","A_02353","K_03308"
"wecF","","TDP-N-acetylfucosamine:lipid II N-acetylfucosaminyltransferase","2","2","1","124","57","","","","1079","1079","1079","A_01974","K_01089"
"tauA","","Taurine-binding periplasmic protein","2","2","1","130","86","","","","962","962","962","A_04303","K_00810"
"rplW","","50S ribosomal protein L23","2","2","1","121","51","","","","302","302","302","A_02086","K_01760"
"uvrY","","Response regulator UvrY","2","2","1","131","184","","","","656","656","656","A_01666","K_00202"
"aspC","","Aspartate aminotransferase","2","2","1","135","508","","","","1190","1190","1190","A_02964","K_04991"
"dut","","Deoxyuridine 5'-triphosphate nucleotidohydrolase","2","2","1","134","470","","","","458","458","458","A_04025","K_03063"
"cidA","","Holin-like protein CidA","2","2","1","135","885","","","","398","398","398","A_02131","K_04252"
"mhpE","","4-hydroxy-2-oxovalerate aldolase","2","2","1","130","77","","","","1013","1013","1013","A_04294","K_00801"
"chuR_1","","Anaerobic sulfatase-maturating enzyme","2","2","1","124","53","","","","1235","1235","1235","A_01982","K_01081"
"dxr","","1-deoxy-D-xylulose 5-phosphate reductoisomerase","2","2","1","132","298","","","","1196","1196","1196","A_02162","K_01314"
"puuR","","HTH-type transcriptional regulator PuuR","2","2","1","135","272","","","","557","557","557","A_01840","K_03783"
"kptA","","RNA 2'-phosphotransferase","2","2","1","132","42","","","","554","554","554","A_01304","K_03403"
"mglB","","D-galactose-binding periplasmic protein","2","2","1","135","894","","","","998","998","998","A_02122","K_04261"
"rseB","","Sigma-E factor regulatory protein RseB","2","2","1","127","25","","","","956","956","956","A_00802","K_00962"
"bamB","","Outer membrane protein assembly factor BamB","2","2","1","127","84","","","","1178","1178","1178","A_00743","K_01021"
"rpsN","","30S ribosomal protein S14","2","2","1","121","40","","","","305","305","305","A_02075","K_01749"
"sapC","","Peptide transport system permease protein SapC","2","2","1","135","279","","","","890","890","890","A_01847","K_03776"
"oppD_1","","Oligopeptide transport ATP-binding protein OppD","2","2","1","125","127","","","","1013","1013","1013","A_04084","K_02058"
"atsA","","Arylsulfatase","2","2","1","124","52","","","","161","1655","908","A_01983","K_01080"
"holD","","DNA polymerase III subunit psi","2","2","1","132","95","","","","413","413","413","A_04437","K_02607"
"narY","","Respiratory nitrate reductase 2 beta chain","2","2","1","117","20","","","","1544","1544","1544","A_01074","K_01787"
"aaeA_1","","p-hydroxybenzoic acid efflux pump subunit AaeA","2","2","1","129","76","","","","857","857","857","A_03303","K_02138"
"yfbR","","5'-deoxynucleotidase YfbR","2","2","1","135","1042","","","","599","599","599","A_01693","K_00435"
"rlmB_2","","23S rRNA (guanosine-2'-O-)-methyltransferase RlmB","2","2","1","134","206","","","","731","731","731","A_02651","K_02995"
"group_3425","","hypothetical protein","2","2","1","135","823","","","","170","170","170","A_00439","K_04192"
"sra","","Stationary-phase-induced ribosome-associated protein","2","2","1","117","35","","","","137","137","137","A_01061","K_00232"
"hchA","","Molecular chaperone Hsp31 and glyoxalase 3","2","2","1","131","240","","","","851","851","851","A_03769","K_00314"
"degQ","","Periplasmic pH-dependent serine endoprotease DegQ","2","2","1","133","65","","","","1367","1367","1367","A_03651","K_04545"
"napC","","Cytochrome c-type protein NapC","2","2","1","135","944","","","","602","602","602","A_02868","K_01562"
"hemX","","Putative uroporphyrinogen-III C-methyltransferase","2","2","1","124","50","","","","1175","1217","1196","A_01985","K_01078"
"cnu","","OriC-binding nucleoid-associated protein","2","2","1","129","54","","","","215","215","215","A_03324","K_02118"
"fliQ","","Flagellar biosynthetic protein FliQ","2","2","1","131","223","","","","269","269","269","A_03753","K_00331"
"pspA","","Phage shock protein A","2","2","1","135","267","","","","668","668","668","A_01835","K_03788"
"nfi","","Endonuclease V","2","2","1","111","20","","","","671","671","671","A_01871","K_01620"
"gntR_2","","HTH-type transcriptional regulator GntR","2","2","1","128","126","","","","995","995","995","A_04266","K_00576"
"rraA","","Regulator of ribonuclease activity A","2","2","1","126","58","","","","485","485","485","A_01129","K_01936"
"group_3436","","hypothetical protein","2","2","1","131","56","","","","446","446","446","A_00876","K_00076"
"ibaG","","Acid stress protein IbaG","2","2","1","133","103","","","","269","269","269","A_03612","K_04507"
"pstB","","Phosphate import ATP-binding protein PstB","2","2","1","134","538","","","","773","773","773","A_02427","K_00780"
"dadA","","D-amino acid dehydrogenase","2","2","1","125","53","","","","1298","1298","1298","A_04144","K_04326"
"group_344","","hypothetical protein","2","2","1","124","37","","","","764","764","764","A_01999","K_01065"
"group_3440","","hypothetical protein","2","2","1","133","135","","","","503","503","503","A_03579","K_04472"
"queE","","7-carboxy-7-deazaguanine synthase","2","2","1","134","974","","","","671","671","671","A_00392","K_03643"
"accC","","Biotin carboxylase","2","2","1","133","43","","","","1349","1349","1349","A_03672","K_04566"
"rraB","","Regulator of ribonuclease activity B","2","2","1","134","734","","","","416","416","416","A_02730","K_02408"
"mntP","","putative manganese efflux pump MntP","2","2","1","131","91","","","","566","566","566","A_00328","K_00110"
"rpsK","","30S ribosomal protein S11","2","2","1","121","30","","","","389","389","389","A_02065","K_01739"
"aspT_1","","Aspartate/alanine antiporter","2","2","1","134","582","","","","1661","1661","1661","A_02466","K_00744"
"mreB","","Rod shape-determining protein MreB","2","2","1","133","48","","","","1043","1043","1043","A_03667","K_04561"
"cmk","","Cytidylate kinase","2","2","1","135","526","","","","683","683","683","A_02946","K_04973"
"dsrB","","Protein DsrB","2","2","1","131","226","","","","188","188","188","A_03756","K_00328"
"yigG","","Inner membrane protein YigG","2","2","1","124","32","","","","380","380","380","A_02002","K_01062"
"nrdR","","Transcriptional repressor NrdR","2","2","1","130","130","","","","449","449","449","A_04346","K_00855"
"pssA","","CDP-diacylglycerol--serine O-phosphatidyltransferase","2","2","1","127","9","","","","1355","1355","1355","A_00816","K_03157"
"rpoZ","","DNA-directed RNA polymerase subunit omega","2","2","1","134","479","","","","275","275","275","A_04015","K_03072"
"pitA","","Low-affinity inorganic phosphate transporter 1","2","2","1","128","50","","","","1499","1499","1499","A_03076","K_00652"
"yebC","","putative transcriptional regulatory protein YebC","2","2","1","131","138","","","","740","740","740","A_01618","K_00155"
"rnt","","Ribonuclease T","2","2","1","129","84","","","","647","647","647","A_03295","K_02146"
"arcB","","Aerobic respiration control sensor protein ArcB","2","2","1","133","83","","","","2336","2336","2336","A_03632","K_04527"
"dcuA","","Anaerobic C4-dicarboxylate transporter DcuA","2","2","1","134","247","","","","1301","1301","1301","A_00113","K_02953"
"infB","","Translation initiation factor IF-2","2","2","1","133","123","","","","2672","2672","2672","A_03591","K_04486"
"miaB","","tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase","2","2","1","135","1215","","","","1424","1424","1424","A_03156","K_04664"
"group_346","","hypothetical protein","2","2","1","88","2","","","","209","212","210","A_02042","K_00047"
"nemA_2","","N-ethylmaleimide reductase","2","2","1","129","82","","","","1097","1097","1097","A_03297","K_02144"
"fliS","","Flagellar protein FliS","2","2","1","131","196","","","","410","410","410","A_03729","K_00213"
"group_3462","","hypothetical protein","2","2","1","135","443","","","","227","227","227","A_00261","K_03227"
"crr","","Glucose-specific phosphotransferase enzyme IIA component","2","2","1","116","36","","","","509","509","509","A_02614","K_00017"
"group_3464","","hypothetical protein","2","2","1","135","419","","","","389","389","389","A_02302","K_03255"
"ebgC","","Evolved beta-galactosidase subunit beta","2","2","1","133","208","","","","449","449","449","A_00933","K_04399"
"group_3466","","hypothetical protein","2","2","1","135","171","","","","233","233","233","A_01186","K_05000"
"dauR","","Transcriptional regulator DauR","2","2","1","128","149","","","","722","722","722","A_04174","K_00484"
"group_3468","","hypothetical protein","2","2","1","134","22","","","","329","329","329","A_01498","K_01854"
"aroP","","Aromatic amino acid transport protein AroP","2","2","1","132","237","","","","1370","1370","1370","A_03883","K_01255"
"aroE","","Shikimate dehydrogenase (NADP( ))","2","2","1","121","14","","","","818","818","818","A_02049","K_01723"
"kstR2","","HTH-type transcriptional repressor KstR2","2","2","1","129","47","","","","578","578","578","A_03331","K_02111"
"group_3473","","hypothetical protein","2","2","1","125","35","","","","284","284","284","A_04161","K_04343"
"group_3474","","hypothetical protein","2","2","1","103","15","","","","305","305","305","A_03977","K_01817"
"group_3475","","hypothetical protein","2","2","1","132","283","","","","623","623","623","A_02177","K_01300"
"ubiE_1","","Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE","2","2","1","124","17","","","","755","755","755","A_02017","K_01047"
"yejB","","Inner membrane ABC transporter permease protein YejB","2","2","1","135","923","","","","1094","1094","1094","A_02890","K_04290"
"accB","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","2","2","1","133","44","","","","470","470","470","A_03671","K_04565"
"ssb_2","","Single-stranded DNA-binding protein","2","2","1","134","316","","","","536","536","536","A_04498","K_03951"
"smg","","Protein Smg","2","2","1","121","17","","","","473","473","473","A_02052","K_01726"
"acpH","","Acyl carrier protein phosphodiesterase","2","2","1","130","121","","","","581","581","581","A_04337","K_00846"
"ihfB","","Integration host factor subunit beta","2","2","1","135","524","","","","284","284","284","A_02948","K_04975"
"group_3482","","hypothetical protein","2","2","1","129","106","","","","209","209","209","A_03271","K_02170"
"glnK","","Nitrogen regulatory protein P-II 2","2","2","1","130","206","","","","338","338","338","A_04383","K_00893"
"proQ","","RNA chaperone ProQ","2","2","1","131","100","","","","698","698","698","A_00337","K_00119"
"manZ_1","","Mannose permease IID component","2","2","1","131","89","","","","851","851","851","A_00326","K_00108"
"group_3486","","hypothetical protein","2","2","1","135","1039","","","","164","164","164","A_01690","K_00438"
"sulA","","Cell division inhibitor SulA","2","2","1","135","481","","","","509","509","509","A_02994","K_03190"
"nhaA","","Na( )/H( ) antiporter NhaA","2","2","1","132","143","","","","1166","1166","1166","A_03971","K_01162"
"rob","","Right origin-binding protein","2","2","1","132","122","","","","869","869","869","A_04411","K_01141"
"rsmB","","Ribosomal RNA small subunit methyltransferase B","2","2","1","121","21","","","","1289","1289","1289","A_02056","K_01730"
"group_3490","","hypothetical protein","2","2","1","133","249","","","","422","422","422","A_00975","K_02361"
"truB","","tRNA pseudouridine synthase B","2","2","1","133","125","","","","944","944","944","A_03589","K_04484"
"cydX","","Cytochrome bd-I ubiquinol oxidase subunit X","2","2","1","135","1146","","","","113","113","113","A_00602","K_04731"
"rpsO","","30S ribosomal protein S15","2","2","1","133","126","","","","269","269","269","A_03588","K_04483"
"cyoD","","Cytochrome bo(3) ubiquinol oxidase subunit 4","2","2","1","130","227","","","","329","329","329","A_04362","K_00872"
"glnQ_2","","Glutamine transport ATP-binding protein GlnQ","2","2","1","135","1223","","","","725","725","725","A_03146","K_04656"
"mepS_2","","Murein DD-endopeptidase MepS/Murein LD-carboxypeptidase","2","2","1","135","920","","","","566","566","566","A_02893","K_04287"
"rmuC","","DNA recombination protein RmuC","2","2","1","124","18","","","","1427","1427","1427","A_02016","K_01048"
"tig","","Trigger factor","2","2","1","130","220","","","","1298","1298","1298","A_04369","K_00879"
"marA","","Multiple antibiotic resistance protein MarA","2","2","1","122","27","","","","383","383","383","A_02565","K_02295"
"group_350","","hypothetical protein","2","2","1","121","26","","","","368","368","368","A_02061","K_01735"
"serS","","Serine--tRNA ligase","2","2","1","135","541","","","","1292","1292","1292","A_02929","K_04958"
"group_3501","","hypothetical protein","2","2","1","132","236","","","","854","854","854","A_03884","K_01254"
"pspB_1","","Putative phosphoserine phosphatase 2","2","2","1","132","121","","","","647","647","647","A_04412","K_01140"
"trmJ","","tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ","2","2","1","127","64","","","","740","740","740","A_00763","K_01001"
"fbp","","Fructose-1,6-bisphosphatase class 1","2","2","1","134","710","","","","998","998","998","A_02709","K_02430"
"group_3505","","hypothetical protein","2","2","1","135","457","","","","173","173","173","A_00274","K_03215"
"yecN","","Inner membrane protein YecN","2","2","1","131","143","","","","395","395","395","A_01623","K_00160"
"group_3507","","hypothetical protein","2","2","1","122","23","","","","95","95","95","A_02575","K_02291"
"srlD","","Sorbitol-6-phosphate 2-dehydrogenase","2","2","1","134","51","","","","779","779","779","A_01466","K_03716"
"gcvR","","Glycine cleavage system transcriptional repressor","2","2","1","127","127","","","","572","572","572","A_00705","K_01511"
"gntP","","High-affinity gluconate transporter","2","2","1","132","31","","","","797","1343","1070","A_02108","K_03414"
"trpS","","Tryptophan--tRNA ligase","2","2","1","128","189","","","","1004","1004","1004","A_04212","K_00517"
"uppP","","Undecaprenyl-diphosphatase","2","2","1","133","227","","","","821","821","821","A_00953","K_02383"
"group_3512","","hypothetical protein","2","2","1","131","176","","","","251","251","251","A_01655","K_00191"
"group_3513","","hypothetical protein","2","2","1","125","122","","","","296","296","296","A_04079","K_02053"
"ivy","","Inhibitor of vertebrate lysozyme","2","2","1","123","7","","","","473","473","473","A_02237","K_01878"
"cusR","","Transcriptional regulatory protein CusR","2","2","1","107","20","","","","683","683","683","A_01229","K_03359"
"epd","","D-erythrose-4-phosphate dehydrogenase","2","2","1","134","806","","","","1019","1019","1019","A_03404","K_03479"
"pdhR_1","","Pyruvate dehydrogenase complex repressor","2","2","1","132","34","","","","725","773","749","A_02112","K_03411"
"hemH","","Ferrochelatase","2","2","1","130","182","","","","962","962","962","A_00125","K_00917"
"ygdR_2","","putative lipoprotein YgdR","2","2","1","134","939","","","","227","227","227","A_00359","K_03610"
"rnhA","","Ribonuclease HI","2","2","1","99","4","","","","467","467","467","A_03843","K_04099"
"group_3524","","hypothetical protein","2","2","1","135","802","","","","203","203","203","A_00455","K_04175"
"uvrC","","UvrABC system protein C","2","2","1","131","183","","","","1832","1832","1832","A_01665","K_00201"
"ribE","","6,7-dimethyl-8-ribityllumazine synthase","2","2","1","130","132","","","","470","470","470","A_04348","K_00857"
"atpE","","ATP synthase subunit c","2","2","1","134","521","","","","239","239","239","A_02415","K_02700"
"murJ","","Lipid II flippase MurJ","2","2","1","135","389","","","","1535","1535","1535","A_02331","K_03284"
"nuoJ","","NADH-quinone oxidoreductase subunit J","2","2","1","135","1030","","","","554","554","554","A_01681","K_00447"
"preT","","NAD-dependent dihydropyrimidine dehydrogenase subunit PreT","2","2","1","135","890","","","","1238","1238","1238","A_02126","K_04257"
"fixX_3","","Ferredoxin-like protein FixX","2","2","1","132","170","","","","287","287","287","A_03946","K_01191"
"levE","","Fructose-specific phosphotransferase enzyme IIB component","2","2","1","133","156","","","","473","473","473","A_03554","K_04451"
"basR","","Transcriptional regulatory protein BasR","2","2","1","134","643","","","","668","668","668","A_03464","K_02927"
"hyfA_3","","Hydrogenase-4 component A","2","2","1","134","59","","","","527","527","527","A_01458","K_03708"
"hycI","","Hydrogenase 3 maturation protease","2","2","1","134","63","","","","470","470","470","A_01454","K_03704"
"rssB","","Regulator of RpoS","2","2","1","125","105","","","","1013","1013","1013","A_04097","K_00702"
"dmsB_1","","Anaerobic dimethyl sulfoxide reductase chain B","2","2","1","129","18","","","","617","617","617","A_03360","K_02082"
"tatB","","Sec-independent protein translocase protein TatB","2","2","1","124","13","","","","515","515","515","A_02021","K_01043"
"hflD","","High frequency lysogenization protein HflD","2","2","1","135","150","","","","641","641","641","A_00628","K_02006"
"group_3539","","hypothetical protein","2","2","1","129","154","","","","758","758","758","A_03222","K_02217"
"group_354","","hypothetical protein","2","2","1","132","320","","","","824","824","824","A_02140","K_01336"
"suhB","","Inositol-1-monophosphatase","2","2","1","127","63","","","","803","803","803","A_00764","K_01000"
"zapB","","Cell division protein ZapB","2","2","1","126","59","","","","239","239","239","A_01130","K_01939"
"fkpB","","FKBP-type 16 kDa peptidyl-prolyl cis-trans isomerase","2","2","1","132","152","","","","449","449","449","A_03962","K_01173"
"cspC","","Cold shock-like protein CspC","2","2","1","131","93","","","","209","209","209","A_00330","K_00112"
"emrA","","Multidrug export protein EmrA","2","2","1","134","36","","","","1172","1172","1172","A_01486","K_01868"
"cadB","","putative cadaverine/lysine antiporter","2","2","1","134","663","","","","1334","1334","1334","A_03444","K_02947"
"group_3546","","hypothetical protein","2","2","1","134","824","","","","578","578","578","A_03386","K_03496"
"eutN","","Ethanolamine utilization protein EutN","2","2","1","127","149","","","","287","287","287","A_00680","K_01487"
"nusB","","N utilization substance protein B","2","2","1","130","133","","","","419","419","419","A_04349","K_00858"
"endA","","Endonuclease-1","2","2","1","134","784","","","","707","707","707","A_03420","K_03457"
"nlpE","","Lipoprotein NlpE","2","2","1","132","321","","","","710","710","710","A_02141","K_01335"
"lpxM","","Lipid A biosynthesis myristoyltransferase","2","2","1","131","129","","","","971","971","971","A_01609","K_00146"
"papD_1","","Chaperone protein PapD","2","2","1","133","237","","","","749","749","749","A_00963","K_02373"
"group_3552","","hypothetical protein","2","2","1","131","63","","","","248","248","248","A_00883","K_00082"
"rplN","","50S ribosomal protein L14","2","2","1","121","43","","","","371","371","371","A_02078","K_01752"
"wzzE","","ECA polysaccharide chain length modulation protein","2","2","1","124","65","","","","1046","1046","1046","A_01966","K_01097"
"group_3555","","hypothetical protein","2","2","1","116","29","","","","218","218","218","A_02607","K_00010"
"glgC","","Glucose-1-phosphate adenylyltransferase","2","2","1","128","133","","","","1295","1295","1295","A_04259","K_00569"
"cspD","","Cold shock-like protein CspD","2","2","1","135","553","","","","224","224","224","A_02916","K_04945"
"araF","","L-arabinose-binding periplasmic protein","2","2","1","131","174","","","","989","989","989","A_01653","K_00189"
"groL","","60 kDa chaperonin","2","2","1","134","242","","","","1646","1646","1646","A_00108","K_02958"
"group_356","","hypothetical protein","2","2","1","132","323","","","","545","545","545","A_02143","K_01333"
"ygdH","","LOG family protein YgdH","2","2","1","134","953","","","","1364","1364","1364","A_00373","K_03624"
"ypdB","","Transcriptional regulatory protein YpdB","2","2","1","135","1121","","","","734","734","734","A_01767","K_00358"
"bamA","","Outer membrane protein assembly factor BamA","2","2","1","132","303","","","","2432","2432","2432","A_02157","K_01319"
"apaG","","Protein ApaG","2","2","1","132","176","","","","377","377","377","A_03940","K_01197"
"group_3564","","hypothetical protein","2","2","1","135","778","","","","332","332","332","A_00477","K_04152"
"rlmE","","Ribosomal RNA large subunit methyltransferase E","2","2","1","133","114","","","","629","629","629","A_03601","K_04496"
"fkpA","","FKBP-type peptidyl-prolyl cis-trans isomerase FkpA","2","2","1","128","150","","","","812","812","812","A_04175","K_00485"
"mltD","","Membrane-bound lytic murein transglycosylase D","2","2","1","99","10","","","","1220","1220","1220","A_03846","K_04102"
"group_3568","","hypothetical protein","2","2","1","129","205","","","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","272","272","272","A_03184","K_02255"
"group_3569","","hypothetical protein","2","2","1","127","72","","","","200","200","200","A_00755","K_01009"
"tilS","","tRNA(Ile)-lysidine synthase","2","2","1","132","326","","","","1295","1298","1296","A_02146","K_01330"
"kup","","Low affinity potassium transport system protein kup","2","2","1","134","511","","","","1868","1868","1868","A_02405","K_02690"
"ygaV_2","","putative HTH-type transcriptional regulator YgaV","2","2","1","134","17","","","","299","299","299","A_01503","K_01849"
"group_3572","","hypothetical protein","2","2","1","135","219","","","","185","185","185","A_01786","K_03825"
"group_3573","","hypothetical protein","2","2","1","135","510","","","","548","548","548","A_02962","K_04989"
"group_3574","","hypothetical protein","2","2","1","101","13","","","","485","485","485","A_01243","K_02469"
"group_3575","lolD_2","Lipoprotein-releasing system ATP-binding protein LolD","2","2","1","101","9","","","","695","695","695","A_01245","K_02467"
"group_3576","","hypothetical protein","2","2","1","135","317","","","","179","179","179","A_01032","K_03740"
"ackA","","Acetate kinase","2","2","1","135","1047","","","","1202","1202","1202","A_01698","K_00430"
